"polls","Polls"
"create_poll","Create poll"
"manage_polls","Manage polls"
"please_enter_the_poll_question","Please enter the poll question"
"error_creating_poll","Could not create poll"
"error_opening_poll","Could not open poll"
"error_saving_poll","Poll couldn't be saved"
"your_poll_has_been_saved","Your poll has been saved"
"question","Question"
"publish_from","Publish from"
"publish_to","Publish to"
"multiple_answers","Allow multiple answers"
"answers","Answers"
"responses","Responses"
"startDate","Start date"
"endDate","End date"
"multiple","Multiple"
"current","Current"
"views","Views"
"report","Report"
"poll_delete_message","Are you sure you want to delete this poll? All collected responses will be lost!"
